fileid	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok
2016-10-12	30	HillerIstvan	66	LezsakSandor	114	JakabIstvan	161	SneiderTamas												
2016-10-14	16	JakabIstvan	44	LatorcaiJanos	63	HillerIstvan	120	LatorcaiJanos												
2016-10-17	46	JakabIstvan	117	LatorcaiJanos	217	LezsakSandor	249	LatorcaiJanos	281	JakabIstvan	304	HillerIstvan								
2016-10-24	34	KoverLaszlo	232	LatorcaiJanos	345	SneiderTamas														
2016-10-25-2	46	LezsakSandor	65	SneiderTamas																
2016-10-26	30	HillerIstvan	66	LezsakSandor	101	SneiderTamas														
2016-11-02	80	SneiderTamas	211	LatorcaiJanos																
2016-10-25	9	LatorcaiJanos																		
2016-11-07	68	KoverLaszlo	195	LatorcaiJanos	259	JakabIstvan	321	HillerIstvan	348	SneiderTamas										
2016-11-08	34	LatorcaiJanos	78	JakabIstvan	106	LezsakSandor	152	SneiderTamas	184	HillerIstvan	199	LezsakSandor								
2016-11-09	32	JakabIstvan	58	LezsakSandor	90	HillerIstvan	126	LatorcaiJanos	141	SneiderTamas										
2016-11-10	30	HillerIstvan	620	SneiderTamas	92	LatorcaiJanos	118	LezsakSandor	138	JakabIstvan	153	LezsakSandor								
2016-11-11	36	JakabIstvan	99	HillerIstvan																
2016-11-14	86	LezsakSandor	211	JakabIstvan																
2016-11-21	68	KoverLaszlo	187	SneiderTamas	273	LatorcaiJanos	348	HillerIstvan												
2016-11-22	34	LatorcaiJanos	84	JakabIstvan	124	LezsakSandor	164	JakabIstvan	181	HillerIstvan										
2016-11-23	34	JakabIstvan	82	LezsakSandor	138	LatorcaiJanos	192	HillerIstvan	242	SneiderTamas	304	HillerIstvan	325	SneiderTamas						
2016-11-28	79	SneiderTamas	205	LatorcaiJanos	231	JakabIstvan	299	SneiderTamas	352	JakabIstvan										
2016-11-29	40	SneiderTamas	80	LatorcaiJanos	114	JakabIstvan	150	HillerIstvan	206	LatorcaiJanos	275	HillerIstvan								
2016-12-05	60	KoverLaszlo	236	JakabIstvan	318	SneiderTamas	365	LezsakSandor												
2016-12-06	62	JakabIstvan	81	LatorcaiJanos	99	LezsakSandor	110	SneiderTamas												
2016-12-07	26	LatorcaiJanos	56	SneiderTamas	61	HillerIstvan														
2016-12-08	26	HillerIstvan	85	LatorcaiJanos																
2016-12-12	28	KoverLaszlo	149	LatorcaiJanos	241	LezsakSandor	306	HillerIstvan												
2016-12-13	61	SneiderTamas	74	JakabIstvan																
2017-02-20	52	KoverLaszlo	114	JakabIstvan	233	LatorcaiJanos	290	SneiderTamas												
