NAME	ROLE	HU	EN	ORG	DATE	DATE
BeneIldiko	member	Népjóléti bizottság tagja	member of the Committee on Social Welfare	org.NB	2014-06-06	2014-06-23
BeneIldiko	member	Népjóléti bizottság tagja	member of the Committee on Social Welfare	org.NB	2014-06-24	2018-05-07
BenkoTibor	minister	honvédelmi miniszter	minister of defence 	GOV.11	2018-05-18	2022-05-23
BenkoTibor	member			GOV.11	2018-05-18	2022-05-23
BenkoTibor	head	honvédelmi miniszter	minister of defence 	ministry.Hon	2018-05-18	2022-05-23
BenkoTibor	member			ministry.Hon	2018-05-18	2022-05-23
BerkeBarna	secretaryOfState			ministry.Igazsag	2014-06-16	2016-09-22
BerkiSandor	member	Nemzeti Összetartozás Bizottsága tag	member of the Committee on Cohesion	org.NOB 	2022-05-02	
BerkiSandor	member	Törvényalkotási bizottság tag	member of the Committee on Legislation	org.TB   	2022-05-02	2022-05-17
BerkiSandor	secretary	jegyző	notary	OGY.9	2022-05-17	
BitayMartonOrs	secretaryOfState			ministry.Agrar	2018-05-22	2019-02-18
BitayMartonOrs	secretaryOfState			ministry.Fold	2014-06-15	2018-05-17
BNagyLaszlo	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-06	2022-05-01
BodisJozsef	secretaryOfState	oktatásért felelős államtitkár	secretary of state for education	ministry.Emmi	2018-07-01	2019-09-01
BodisJozsef	secretaryOfState	felsőoktatásért, innovációért és szakképzésért felelős államtitkár	secretary of state for higher education, innovation and skills	ministry.ITM	2019-09-01	2022-05-23
BodoSandor	secretary	jegyző	notary	OGY.8	2018-05-18	2018-06-12
BodoSandor	secretaryOfState	foglalkoztatáspolitikáért felelős államtitkár	secretary of state for employment policy	ministry.ITM	2020-01-15	2022-05-23
BodoSandor	secretaryOfState	foglalkoztatáspolitikáért és vállalati kapcsolatokért felelős államtitkár	secretary of state for employment policy and industrial relations	ministry.Penz	2018-06-13	2020-01-14
BokaJanos	secretaryOfState			ministry.Igazsag	2018-09-01	2021-01-14
BokaJanos	secretaryOfState			ministry.Igazsag	2022-05-24	
BokaJanos	secretaryOfState			ministry.MinK	2021-01-15	2022-05-23
BoldogIstvan	deputyHead	Költségvetési bizottság alelnöke	deputy head of the Committee on Budget	org.KB	2018-11-12	2022-05-01
BoldogIstvan	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2014-06-06	2018-05-07
BoldogIstvan	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2018-05-18	2022-05-01
BonaZoltan	deputyHead	Mezőgazdasági bizottság alelnöke	deputy head of the Committee on Agriculture	org.MezoB	2018-05-18	2018-06-04
BonaZoltan	member			org.MezoB	2018-05-18	2018-06-04
BonaZoltan	deputyHead	Nemzeti összetartozás bizottságának alelnöke	deputy head of the Committee on Cohesion	org.NOB	2014-06-06	2014-06-23
BonaZoltan	deputyHead	Nemzeti összetartozás bizottságának alelnöke	deputy head of the Committee on Cohesion	org.NOB	2018-05-18	2018-10-15
BonaZoltan	member			org.NOB	2018-05-18	2018-10-15
BonaZoltan	deputyHead	Nemzeti összetartozás bizottságának alelnöke	deputy head of the Committee on Cohesion	org.NOB	2022-05-02	2022-06-08
BonaZoltan	member	Nemzeti összetartozás bizottság tagja	member of the Committee on Cohesion	org.NOB	2014-06-06	2018-05-07
BonaZoltan	member	Nemzeti összetartozás bizottságának tagja	member of the Committee on Cohesion	org.NOB	2022-05-02	
BonaZoltan	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-24	2018-05-07
BonaZoltan	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2022-05-01
BonaZoltan	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-05-02	
BoroczLaszlo	member	Fenntartható fejlődés bizottságának tagja	member of the Committee on Sustainable Development	org.FFB	2018-05-18	2022-05-01
BoroczLaszlo	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2018-07-02	2019-10-21
BoroczLaszlo	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2019-10-21	2022-05-01
BorosAnita	secretaryOfState			ministry.ITM	2019-09-01	2021-01-15
BoszAnett	deputyHead	Gazdasági bizottság alelnöke	deputy head of the Committee on Economics	org.GB	2018-05-18	2018-05-18
BoszAnett	member			org.GB	2018-05-18	2018-05-18
BoszAnett	secretary	korjegyző	juniorNotary	OGY.8	2018-05-18	2018-05-18
BoszAnett	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2018-06-04	2019-12-09
BoszAnett	member	Költségvetési bizottság tagja	member of the Committee on Budget	org.KB	2020-02-17	2022-05-01
BrennerKoloman	deputyHead	Külügyi bizottság alelnöke	deputy head of the Committee on Foreign Affairs	org.KulB	2022-05-02	
BrennerKoloman	member			org.KulB	2022-05-02	
BrennerKoloman	deputyHead			OGY.8	2020-07-03	2022-05-01
BrennerKoloman	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2018-05-11	2022-05-01
BrennerKoloman	member	Nemzeti Összetartozás Bizottsága tag	member of the Committee on Cohesion	org.NOB 	2018-05-18	2020-03-30
BrennerKoloman	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2020-03-30	2020-06-08
BrennerKoloman	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-05-02	
BudaiGyula	deputyHead	Igazságügyi bizottság alelnöke	deputy head of the Committee on Justice	org.IB	2014-06-23	2018-05-07
BudaiGyula	member	Honvédelmi és rendészeti bizottság tagja	member of the Committee on Defence and Law Enforcement	org.HRB	2022-05-02	2022-06-08
BudaiGyula	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2014-06-07	2018-05-07
BudaiGyula	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-10-30	2022-05-01
BudaiGyula	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-05-02	
BuranySandor	head	Költségvetési bizottság elnöke	head of the Committee on Budget	org.KB	2014-06-06	2016-09-12
BuranySandor	member			org.KB	2014-06-06	2016-09-12
BuranySandor	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2016-09-12	2018-05-07
BuranySandor	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2018-05-18	2022-05-01
CsanyiTamas	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2019-02-18	2022-05-01
CsardiAntal	deputyHead	Költségvetési bizottság alelnöke	deputy head of the Committee on Budget	org.KB	2018-05-18	2019-03-04
CsardiAntal	member			org.KB	2018-05-18	2019-03-04
CsardiAntal	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2022-05-02	
CsardiAntal	member	Mezőgazdasági bizottság tagja	member of the Committee on Agriculture	org.MezoB	2019-03-04	2022-05-01
CsehKatalin	member	Európai Parlament	European Parliament	EP	2019-05-25	
CsengerZalanZsolt	deputyHead	Külügyi bizottság alelnöke	deputy head of the Committee on Foreign Affairs	org.KulB	2014-06-06	2018-05-07
CsengerZalanZsolt	member			org.KulB	2014-06-06	2018-05-07
CsengerZalanZsolt	deputyHead	Külügyi bizottság alelnöke	deputy head of the Committee on Foreign Affairs	org.KulB	2018-05-18	2022-05-01
CsengerZalanZsolt	member			org.KulB	2018-05-18	2022-05-01
CsepreghyNandor	secretaryOfState			ministry.Epites	2022-05-24	
CsepreghyNandor	secretaryOfState			ministry.Min	2015-10-08	2018-05-17
CseresnyesPeter	deputyHead	Gazdasági bizottság alelnöke	deputy head of the Committee on Economics	org.GB	2022-06-08	
CseresnyesPeter	member			org.GB	2022-06-08	
CseresnyesPeter	member	Gazdasági bizottság tagja	member of the Committee on Economics	org.GB	2014-06-06	2015-10-19
CseresnyesPeter	secretaryOfState	kereskedelempolitikai és fogyasztóvédelmi államtitkár		ministry.ITM	2018-05-22	2022-05-23
CseresnyesPeter	secretaryOfState	munkerőpiacért és képzésért felelős államtitkár		ministry.NGM	2015-10-09	2018-05-17
CsiziPeter	secretary	korjegyző	juniorNotary	OGY.7	2014-06-06	2014-06-06
CsiziPeter	member	Nemzetbiztonsági bizottság tagja	member of the Committee on National Security	org.NVedB	2015-02-16	2018-05-07
CsiziPeter	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-06	2015-02-16
CsoborKatalin	member			org.EUB	2014-06-06	2018-05-07
CsoborKatalin	member			org.EUB	2018-05-18	2022-05-01
CsoborKatalin	member			org.EUB	2022-05-02	2022-07-04
CsoborKatalin	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2014-06-06	2018-05-07
CsoborKatalin	member	Külügyi bizottság tagja	member of the Committee on Foreign Affairs	org.KulB	2022-07-04	
CsoborKatalin	member	Kulturális bizottság tagja	member of the Committee on Culture	org.KultB	2022-05-02	
CsucsLaszlone	member	lengyel nemzetiségi szószóló	advocate for the Polish minority	org.MNemzB 	2014-05-26	2018-05-07
CzervanGyorgy	deputyHead	Mezőgazdasági bizottság alelnöke	deputy head of the Committee on Agriculture	org.MezoB	2018-06-04	2022-05-01
CzervanGyorgy	member			org.MezoB	2018-06-04	2022-05-01
CzervanGyorgy	deputyHead	Mezőgazdasági bizottság alelnöke	deputy head of the Committee on Agriculture	org.MezoB	2022-05-02	
CzervanGyorgy	member			org.MezoB	2022-05-02	
CzervanGyorgy	secretaryOfState	Földművelésügyi Minisztérium államtitkára		ministry.Fold	2014-06-15	2018-05-17
CzibereKaroly	secretaryOfState			ministry.Emmi	2014-06-07	2018-05-17
CzineAgnes	member	alkotmánybíró	constitutional judge	org.AB	2014-11-15	
CzombaSandor	secretaryOfState			ministry.NGM	2014-06-15	2015-10-08
CzunyineDrBertalanJudit	deputyHead	Igazságügyi bizottság alelnöke	deputy head of the Committee on Justice	org.IB	2014-06-02	2014-06-18
CzunyineDrBertalanJudit	deputyHead	Igazságügyi bizottság alelnöke	deputy head of the Committee on Justice	org.IB	2018-05-18	2022-05-01
CzunyineDrBertalanJudit	member			org.IB	2018-05-18	2022-05-01
CzunyineDrBertalanJudit	deputyHead	Igazságügyi bizottság alelnöke	deputy head of the Committee on Justice	org.IB	2022-05-02	2022-06-08
CzunyineDrBertalanJudit	member	Igazságügyi bizottság tagja	member of the Committee on Justice	org.IB	2014-06-02	2014-06-18
