parlaid	idő eleje	idő vége	ciklus száma (7, 8, 9)
PapcsakFerenc	2014-06-06	2015-08-05	7
PestiImre	2014-06-06	2018-05-07	7
PestiImre	2018-05-08	2022-05-01	8
PestiImre	2022-05-02		9
PetnehazyAttila	2014-06-06	2018-05-07	7
PinterTamas	2016-09-12	2018-05-07	7
PinterTamas	2018-05-08	2019-10-28	8
PocsJanos	2014-06-06	2018-05-07	7
PocsJanos	2018-05-08	2022-05-01	8
PocsJanos	2022-05-02		9
PogacsasTibor	2014-06-06	2018-05-07	7
PogacsasTibor	2018-05-08	2022-05-01	8
PogacsasTibor	2022-05-02		9
PosanLaszlo	2014-06-06	2018-05-07	7
PosanLaszlo	2018-05-08	2022-05-01	8
PosanLaszlo	2022-05-02		9
PotocskaneKorosiAnita	2018-05-08	2022-05-01	8
RepassyRobert	2014-06-06	2018-05-07	7
RepassyRobert	2018-05-08	2022-05-01	8
RetvariBence	2014-06-06	2018-05-07	7
RetvariBence	2018-05-08	2022-05-01	8
RetvariBence	2022-05-02		9
ReveszMariusz	2014-06-06	2018-05-07	7
ReveszMariusz	2018-05-08	2022-05-01	8
RigLajos	2015-05-11	2018-05-07	7
RigLajos	2018-05-08	2022-05-01	8
RitterImre	2018-05-08	2022-05-01	8
RitterImre	2022-05-02		9
RizGabor	2014-06-06	2018-05-07	7
RizGabor	2018-05-08	2022-05-01	8
RizGabor	2022-05-02		9
RoganAntal	2014-06-06	2018-05-07	7
RoganAntal	2018-05-08	2022-05-01	8
RoganAntal	2022-05-02		9
RubovszkyGyorgy	2014-06-06	2017-06-21	7
SalaczLaszlo	2014-06-06	2018-05-07	7
SalaczLaszlo	2018-05-08	2022-05-01	8
SalaczLaszlo	2022-05-02		9
SallaiRBenedek	2014-06-06	2018-05-07	7
SasZoltan	2022-05-02		9
SchifferAndras	2014-06-06	2016-09-05	7
SchmuckErzsebet	2014-06-06	2018-05-07	7
SchmuckErzsebet	2018-05-08	2022-05-01	8
SebianPetrovszkiLaszlo	2019-12-02	2022-05-01	8
